group,indicator,cid,method,value
ablation,Spread,C10,w/o Graph,0.0
ablation,Spread,C11,HCMAGRL,0.0
ablation,Spread,C11,w/o EdgeAttn,0.0
ablation,Spread,C11,w/o Hierarchy,0.0
ablation,Spread,C11,w/o Heterogeneity,0.0
ablation,Spread,C11,w/o Graph,0.0
ablation,Spread,C12,HCMAGRL,0.0
ablation,Spread,C12,w/o EdgeAttn,0.0
ablation,Spread,C12,w/o Hierarchy,0.0
ablation,Spread,C12,w/o Heterogeneity,0.0
ablation,Spread,C12,w/o Graph,0.0
ablation,Spread,C13,HCMAGRL,0.496628
ablation,Spread,C13,w/o EdgeAttn,0.245681
ablation,Spread,C13,w/o Hierarchy,0.241177
ablation,Spread,C13,w/o Heterogeneity,0.345104
ablation,Spread,C13,w/o Graph,0.050878
ablation,Spread,C14,HCMAGRL,0.76678
ablation,Spread,C14,w/o EdgeAttn,0.947204
ablation,Spread,C14,w/o Hierarchy,0.527522
ablation,Spread,C14,w/o Heterogeneity,0.736972
ablation,Spread,C14,w/o Graph,1.089422
ablation,Spread,C15,HCMAGRL,0.515108
ablation,Spread,C15,w/o EdgeAttn,0.580386
ablation,Spread,C15,w/o Hierarchy,0.766439
ablation,Spread,C15,w/o Heterogeneity,0.42615
ablation,Spread,C15,w/o Graph,0.699812
ablation,Spread,C16,HCMAGRL,0.746964
ablation,Spread,C16,w/o EdgeAttn,0.577401
ablation,Spread,C16,w/o Hierarchy,0.579659
ablation,Spread,C16,w/o Heterogeneity,0.757604
ablation,Spread,C16,w/o Graph,0.267487
ablation,Spread,C17,HCMAGRL,0.677083
ablation,Spread,C17,w/o EdgeAttn,0.789949
ablation,Spread,C17,w/o Hierarchy,0.0
ablation,Spread,C17,w/o Heterogeneity,0.375952
ablation,Spread,C17,w/o Graph,0.341101
ablation,Spread,C18,HCMAGRL,0.61902
ablation,Spread,C18,w/o EdgeAttn,0.92152
ablation,Spread,C18,w/o Hierarchy,0.739457
ablation,Spread,C18,w/o Heterogeneity,0.825977
ablation,Spread,C18,w/o Graph,0.0
ablation,Spread,C19,HCMAGRL,0.834371
ablation,Spread,C19,w/o EdgeAttn,0.132437
ablation,Spread,C19,w/o Hierarchy,0.874231
ablation,Spread,C19,w/o Heterogeneity,0.969877
