method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
HCMAGRL,M12_A15_R4_J2,0.0,1.0,606.6333333333333,44.873754034731625,791.7,93.73315989103268,20,C25,0.1947375633822118,0.3521052073390603,0.3521052073390603,5.0
HCMAGRL,M12_A15_R4_J2,0.25,0.75,568.7083333333333,18.38850351180073,696.55,54.48850675528788,20,C25,0.0,0.06688963210702342,0.05016722408026757,2.0
HCMAGRL,M12_A15_R4_J2,0.5,0.5,590.1916666666667,41.88986796364602,766.4,98.33530179415413,20,C25,0.18510780544877195,0.17267745635274626,0.1788926309007591,3.0
HCMAGRL,M12_A15_R4_J2,0.75,0.25,577.775,29.58056077939346,780.6,78.35036022487976,20,C25,0.0313578394598651,0.0,0.023518379594898827,1.0
HCMAGRL,M12_A15_R4_J2,1.0,0.0,578.9,21.21481607397603,964.7,76.38069472265744,20,C25,0.23481797844213917,0.42210427724008764,0.23481797844213917,3.0
HCMAGRL,M12_A15_R6_J3,0.0,1.0,817.8416666666667,44.347757678501786,980.55,186.56097493425864,20,C26,0.6513741457030688,0.3600888888888888,0.3600888888888888,3.0
HCMAGRL,M12_A15_R6_J3,0.25,0.75,749.325,50.16797733905959,913.4,133.60641333487897,20,C26,0.11842105263157944,0.1536084529505581,0.14481160287081343,5.0
HCMAGRL,M12_A15_R6_J3,0.5,0.5,711.175,27.33079122752956,865.15,121.0286068837055,20,C26,0.08473867595818778,0.09095398798255001,0.0878463319703689,3.0
HCMAGRL,M12_A15_R6_J3,0.75,0.25,832.525,48.417962056530214,1979.95,234.8180650721118,20,C26,0.7714204545454546,1.0,0.828565340909091,8.0
HCMAGRL,M12_A15_R6_J3,1.0,0.0,682.3,41.68475396893079,954.4,170.93778492711746,20,C26,0.05360752262940482,0.08931351733899508,0.05360752262940482,3.0
HCMAGRL,M12_A15_R8_J4,0.0,1.0,1809.2249999999997,147.17312154289033,1803.55,353.85820457828646,20,C27,0.0,0.08604159395594242,0.08604159395594242,2.0
HCMAGRL,M12_A15_R8_J4,0.25,0.75,1882.1666666666665,161.04260088015718,2270.55,351.26949842865065,20,C27,0.01570055493707023,0.2396036964634797,0.18362791108187734,6.0
HCMAGRL,M12_A15_R8_J4,0.5,0.5,1869.9416666666664,79.7934151931545,1804.6,291.65704445280824,20,C27,0.0010634191109524154,0.048451135699457776,0.024757277405205096,3.0
HCMAGRL,M12_A15_R8_J4,0.75,0.25,1869.3583333333331,148.53953020042763,2035.6,412.143996297666,20,C27,0.06464570743591826,0.09916715088127051,0.07327606829725633,5.0
HCMAGRL,M12_A15_R8_J4,1.0,0.0,1464.7916666666665,52.18057588796816,2413.1,257.94509819767956,20,C27,0.0,0.15517583507882265,0.0,1.0
HCMAGRL,M12_A9_R4_J2,0.0,1.0,510.375,22.631220672398708,741.4,68.45005862901645,20,C19,0.0,0.24760682917201218,0.24760682917201218,2.0
HCMAGRL,M12_A9_R4_J2,0.25,0.75,484.0083333333333,21.46277036395595,663.95,52.0621844780987,20,C19,0.0,0.0,0.0,1.0
HCMAGRL,M12_A9_R4_J2,0.5,0.5,513.1333333333333,61.96604899515684,805.75,197.2516092923479,20,C19,0.06380120886501059,0.18645873692367299,0.1251299728943418,4.0
HCMAGRL,M12_A9_R4_J2,0.75,0.25,466.8416666666667,21.191446677390875,696.05,124.0557917780714,20,C19,0.0,0.0,0.0,1.0
HCMAGRL,M12_A9_R4_J2,1.0,0.0,418.41666666666663,6.342905969691696,927.8,10.595927718256963,20,C19,0.007332512244722569,0.2412322623336519,0.007332512244722569,3.0
HCMAGRL,M12_A9_R6_J3,0.0,1.0,796.6916666666667,30.92148494160897,977.55,118.35560823214084,20,C20,0.4274897596094172,0.42384559003176153,0.42384559003176153,3.0
HCMAGRL,M12_A9_R6_J3,0.25,0.75,656.9083333333333,22.407410206530848,660.6,90.65051455713689,20,C20,0.0,0.0,0.0,1.0
HCMAGRL,M12_A9_R6_J3,0.5,0.5,674.1666666666667,38.957504212961624,717.7,202.08286471278637,20,C20,0.1134403654088694,0.0,0.0567201827044347,2.0
